uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
2030460,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-03-25 18:25,-87.627981,41.765333,vehicle parking,open space,170316911001007
2030494,Chicago,12A,personal robbery,robbery,property,2012-03-25 19:13,-87.792686,41.977476,residence,residence,170311006002025
2030566,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-25 21:00,-87.66555,41.764888,street,street,170316720001002
2030632,Chicago,13B,simple assault,assault offenses,persons,2012-03-25 22:10,-87.764979,41.928558,residence,residence,170311907011011
2031066,Chicago,13B,simple assault,assault offenses,persons,2012-03-26 13:30,-87.670334,41.827902,residence,residence,170315907001009
2031165,Chicago,90Z,all other offenses,all other offenses,other,2012-03-26 15:30,-87.623595,41.843962,other,other,170318392002012
2031306,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-26 19:00,-87.657234,41.935304,street,street,170310629003016
2031309,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-26 19:00,-87.702149,41.886471,residence,residence,170318371001008
2031310,Chicago,250,counterfeiting/forgery,counterfeiting/forgery,property,2012-03-26 19:00,-87.653661,41.747682,other retail,retail,170317108006005
2031522,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-03-27 00:00,-87.624919,41.664444,residence,residence,170315305021030
2031580,Chicago,13B,simple assault,assault offenses,persons,2012-03-27 02:30,-87.662621,41.885514,street,street,170318330002112
2031751,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-03-27 10:15,-87.701808,41.844581,other retail,retail,170313009001012
2031802,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-27 11:30,-87.652406,41.746141,school,education,170317108006008
2031975,Chicago,90Z,all other offenses,all other offenses,other,2012-03-27 15:25,-87.528182,41.698602,street,street,170315205002006
2032101,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-27 18:00,-87.732522,41.912465,street,street,170312305002009
2032117,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-27 18:20,-87.643831,41.756082,vehicle parking,open space,170316813003010
2032184,Chicago,13B,simple assault,assault offenses,persons,2012-03-27 19:30,-87.715899,41.840231,residence,residence,170313017023002
2032429,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-28 01:27,-87.643016,41.928304,residence,residence,170310701032000
2032553,Chicago,90Z,all other offenses,all other offenses,other,2012-03-28 08:00,-87.725047,41.901537,residence,residence,170312312005007
2032614,Chicago,13B,simple assault,assault offenses,persons,2012-03-28 09:25,-87.721984,41.803202,school,education,170315704002019
2032622,Chicago,90Z,all other offenses,all other offenses,other,2012-03-28 09:45,-87.771773,41.868265,residence,residence,170318314002041
2032637,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-28 10:05,-87.701088,41.87672,private vehicle,vehicle,170318370001021
2032759,Chicago,39B,operating/promoting/assisting gambling,gambling offenses,society,2012-03-28 12:50,-87.684838,41.778396,street,street,170316606001006
2032921,Chicago,13B,simple assault,assault offenses,persons,2012-03-28 16:00,-87.683181,41.76242,gas station,retail,170316610003000
2032978,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-03-28 17:20,-87.703918,41.806085,vehicle parking,open space,170318428004038
2032983,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-28 17:28,-87.637479,41.67058,street,street,170315305032003
2033005,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-28 17:45,-87.751769,41.957501,gas station,retail,170311502001004
2033006,Chicago,13B,simple assault,assault offenses,persons,2012-03-28 17:55,-87.562679,41.75623,street,street,170314313023005
2033037,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-28 18:30,-87.549895,41.731256,residence,residence,170318339002013
2033039,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-28 18:30,-87.74265,41.96201,street,street,170311601002012
2033118,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-28 20:04,-87.658334,41.768632,commercial vehicle,vehicle,170318349001006
2033124,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-28 20:14,-87.76033,41.874784,street,street,170312521022011
2033153,Chicago,90J,trespass of real property,trespass of real property,society,2012-03-28 20:45,-87.645175,41.794971,convenience store,retail,170318438002032
